date,y_true,fcast_lasso,hmean,nr_lasso,dy,ep,dpayr,svar,bmr,ntis,tbl,lty,ltr,dfr,dfy,inf,Pyun_FC
2008-09-01,-0.086767,-0.007413006568607508,0.0054696636771300435,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2008-10-01,-0.16848,0.011574336516419998,0.005057892857142856,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2008-11-01,-0.074312,-0.015993409100322247,0.004286613333333332,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2008-12-01,0.011695,-0.032539138172006106,0.003938831858407079,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2009-01-01,-0.082615,-0.024111117961365815,0.003972999999999999,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2009-02-01,-0.103588,-0.029895304808511155,0.003593228070175438,5.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2009-03-01,0.087534,-0.04188734886027542,0.0031251877729257635,5.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2009-04-01,0.09403,-0.04454744654439868,0.0034921826086956515,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2009-05-01,0.05454,0.004182011371877832,0.003884121212121211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009-06-01,0.002476,0.0037271738252048145,0.004102465517241379,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009-07-01,0.074382,0.003965506721251054,0.004095484978540772,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009-08-01,0.034651,0.0041475045134714604,0.004395854700854701,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009-09-01,0.036434,0.004225756816837632,0.004524599999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009-10-01,-0.018359,0.0048566674626188515,0.004659809322033899,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009-11-01,0.060257,0.005030832891239831,0.004562683544303797,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
