date,y_true,fcast_lassorel,hmean,nr_lasso_rel,dy,ep,dpayr,svar,bmr,ntis,tbl,lty,ltr,dfr,dfy,inf,Pyun_FC
2008-03-01,-0.0047,0.005744299539170508,0.0057442995391705064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-01,0.046929,0.005696389908256882,0.005696389908256881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-01,0.011186,0.005410021957046346,0.0058846666666666665,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-01,-0.084642,0.004896902613559583,0.005908763636363636,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-01,-0.009006,-0.004969216038241215,0.005499031674208144,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2008-08-01,0.013455,-0.007423627346389059,0.005433693693693693,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2008-09-01,-0.086767,-0.007408713691120205,0.0054696636771300435,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2008-10-01,-0.16848,0.011750614182619409,0.005057892857142856,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2008-11-01,-0.074312,-0.03270114955086831,0.004286613333333332,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2008-12-01,0.011695,-0.06890010102429203,0.003938831858407079,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2009-01-01,-0.082615,-0.038312648430953236,0.003972999999999999,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2009-02-01,-0.103588,-0.046619632130207284,0.003593228070175438,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009-03-01,0.087534,-0.07550970563528182,0.0031251877729257635,5.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2009-04-01,0.09403,-0.07308355993211721,0.0034921826086956515,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009-05-01,0.05454,0.004182011371877844,0.003884121212121211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009-06-01,0.002476,0.000815440703281876,0.004102465517241379,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009-07-01,0.074382,0.003965506721251056,0.004095484978540772,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009-08-01,0.034651,0.004147504513471462,0.004395854700854701,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009-09-01,0.036434,0.004225756816837633,0.004524599999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009-10-01,-0.018359,0.0048566674626188515,0.004659809322033899,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009-11-01,0.060257,0.005030832891239829,0.004562683544303797,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
