date,y_true,fcast_ew,hmean,nr_ew,dy,ep,dpayr,svar,bmr,ntis,tbl,lty,ltr,dfr,dfy,inf
2009-07-01,0.074382,0.00540479546728257,0.005783135685210315,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2009-08-01,0.034651,0.006251176751810756,0.005876088075880759,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2009-09-01,0.036434,0.00624274283084694,0.005915025710419486,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2009-10-01,-0.018359,0.006393815363699121,0.005956267567567568,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2009-11-01,0.060257,0.005644841758591681,0.0059234534412955465,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2009-12-01,0.018983,0.005923083378085417,0.005996679245283019,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010-01-01,-0.035851,0.005501218050906686,0.006014157469717363,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010-02-01,0.030424,0.005797515774277562,0.005957887096774194,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010-03-01,0.061014,0.0056703443019271785,0.005990727516778524,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010-04-01,0.015877,0.005962540791750857,0.00606448525469169,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010-05-01,-0.080211,0.0061997926467034295,0.006077621151271754,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010-06-01,-0.053625,0.005189231000163927,0.005962262032085562,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010-07-01,0.070351,0.005992592889163987,0.005882706275033378,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010-08-01,-0.045534,0.005953121156808984,0.005968663999999999,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010-09-01,0.090283,0.00622660290525711,0.005900085219707057,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010-10-01,0.038626,0.005666049981592266,0.006012296542553191,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010-11-01,-0.000151,0.00565189204889618,0.006055608233731739,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010-12-01,0.066954,0.0057337093229640305,0.006047376657824934,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011-01-01,0.023249,0.00589636830605119,0.006128047682119206,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011-02-01,0.032408,0.005717748143579965,0.006150694444444445,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011-03-01,0.000525,0.0060977559823701824,0.006185380449141348,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011-04-01,0.029341,0.005716699033739247,0.006177912928759895,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011-05-01,-0.011313,0.006221949533310087,0.006208430830039526,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011-06-01,-0.016545,0.006240437005208414,0.006185376315789473,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011-07-01,-0.019828,0.005564666325877749,0.006155507227332457,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011-08-01,-0.054323,0.006479831067820443,0.006121408136482939,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011-09-01,-0.070338,0.004737916156581892,0.006042188728702489,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011-10-01,0.109014,0.005966630034153256,0.005942214659685864,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011-11-01,-0.002727,0.005811296808855194,0.006076949019607843,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011-12-01,0.009427,0.005129695830642851,0.006065455613577023,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-01-01,0.045205,0.006631194596244193,0.006069838331160364,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-02-01,0.043341,0.006570454983994208,0.006120795572916666,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-03-01,0.032866,0.0063768657703373284,0.006169196358907672,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-04-01,-0.006034,0.005914860186878402,0.006203867532467532,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-05-01,-0.05979,0.006405906978163598,0.0061879948119325555,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-01,0.041365,0.006452772780757465,0.0061025310880829025,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-01,0.014363,0.006292561106797479,0.006148148771021993,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-01,0.022744,0.007115427568481533,0.00615876227390181,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-01,0.02502,0.0063804655870938545,0.0061801625806451625,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-10-01,-0.017937,0.006226856743944731,0.006204440721649485,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-11-01,0.005226,0.00657292742709976,0.0061733706563706576,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-12-01,0.008408,0.006174239157945505,0.006172152956298202,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2013-01-01,0.052261,0.006432903771458678,0.006175023106546856,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
