date,y_true,fcast_comby,hmean,nr_comby,dy,ep,dpayr,svar,bmr,ntis,tbl,lty,ltr,dfr,dfy,inf
2011-01-01,0.023249,0.003532602977678286,0.006128047682119206,2,0,0,0,1,0,0,0,0,1,0,0,0
2011-02-01,0.032408,0.004946726132769261,0.006150694444444445,2,0,0,0,1,0,0,0,0,1,0,0,0
2011-03-01,0.000525,0.0070654869668103585,0.006185380449141348,2,0,0,0,1,0,0,0,0,1,0,0,0
2011-04-01,0.029341,0.005564495391882413,0.006177912928759895,2,0,0,0,1,0,0,0,0,1,0,0,0
2011-05-01,-0.011313,0.007908580040296554,0.006208430830039526,2,0,0,0,1,0,0,0,0,1,0,0,0
2011-06-01,-0.016545,0.008813870618903567,0.006185376315789473,2,0,0,0,1,0,0,0,0,1,0,0,0
2011-07-01,-0.019828,0.0043780022031276586,0.006155507227332457,2,0,0,0,1,0,0,0,0,1,0,0,0
2011-08-01,-0.054323,0.008747499757771438,0.006121408136482939,2,0,0,0,1,0,0,0,0,1,0,0,0
2011-09-01,-0.070338,0.002660311807335174,0.006042188728702489,2,0,0,0,1,0,0,0,0,1,0,0,0
2011-10-01,0.109014,0.000491172063030512,0.005942214659685864,1,0,0,0,1,0,0,0,0,0,0,0,0
2011-11-01,-0.002727,0.00032392606727470527,0.006076949019607843,1,0,0,0,1,0,0,0,0,0,0,0,0
2011-12-01,0.009427,1.786300828377476e-5,0.006065455613577023,1,0,0,0,1,0,0,0,0,0,0,0,0
2012-01-01,0.045205,0.005240440111973024,0.006069838331160364,1,0,0,0,1,0,0,0,0,0,0,0,0
2012-02-01,0.043341,0.007522056395120747,0.006120795572916666,1,0,0,0,1,0,0,0,0,0,0,0,0
2012-03-01,0.032866,0.007599313296096439,0.006169196358907672,1,0,0,0,1,0,0,0,0,0,0,0,0
2012-04-01,-0.006034,0.007072636198680128,0.006203867532467532,1,0,0,0,1,0,0,0,0,0,0,0,0
2012-05-01,-0.05979,0.006555222925790285,0.0061879948119325555,1,0,0,0,1,0,0,0,0,0,0,0,0
2012-06-01,0.041365,0.006607542758037532,0.0061025310880829025,1,0,0,0,1,0,0,0,0,0,0,0,0
2012-07-01,0.014363,0.0045998100654596795,0.006148148771021993,1,0,0,0,1,0,0,0,0,0,0,0,0
2012-08-01,0.022744,0.006605213007542422,0.00615876227390181,1,0,0,0,1,0,0,0,0,0,0,0,0
2012-09-01,0.02502,0.0074992272494082595,0.0061801625806451625,1,0,0,0,1,0,0,0,0,0,0,0,0
2012-10-01,-0.017937,0.007187631382553041,0.006204440721649485,1,0,0,0,1,0,0,0,0,0,0,0,0
2012-11-01,0.005226,0.007279606882914022,0.0061733706563706576,1,0,0,0,1,0,0,0,0,0,0,0,0
2012-12-01,0.008408,0.006244050859384233,0.006172152956298202,1,0,0,0,1,0,0,0,0,0,0,0,0
2013-01-01,0.052261,0.007163125728913647,0.006175023106546856,1,0,0,0,1,0,0,0,0,0,0,0,0
2013-02-01,0.013013,0.007360640841177061,0.006234107692307694,1,0,0,0,1,0,0,0,0,0,0,0,0
2013-03-01,0.037584,0.007012005371253334,0.006242787451984636,1,0,0,0,1,0,0,0,0,0,0,0,0
2013-04-01,0.019621,0.007857824963514027,0.0062828657289002564,1,0,0,0,1,0,0,0,0,0,0,0,0
2013-05-01,0.02312,0.0066003512499230475,0.006299900383141764,1,0,0,0,1,0,0,0,0,0,0,0,0
2013-06-01,-0.013601,0.0073313761366365264,0.006321354591836735,1,0,0,0,1,0,0,0,0,0,0,0,0
2013-07-01,0.050672,0.005994234198716753,0.006295975796178343,1,0,0,0,1,0,0,0,0,0,0,0,0
2013-08-01,-0.029207,0.007904261318706248,0.0063524338422391875,1,0,0,0,1,0,0,0,0,0,0,0,0
2013-09-01,0.03166,0.007376992426035709,0.006307250317662009,1,0,0,0,1,0,0,0,0,0,0,0,0
2013-10-01,0.046268,0.007757348808568746,0.006339423857868021,1,0,0,0,1,0,0,0,0,0,0,0,0
2013-11-01,0.030817,0.006943725988839607,0.006390030418250952,1,0,0,0,1,0,0,0,0,0,0,0,0
2013-12-01,0.02595,0.00781927973375329,0.006420950632911393,1,0,0,0,1,0,0,0,0,0,0,0,0
2014-01-01,-0.034666,0.007736797016884257,0.0064456396965866004,1,0,0,0,1,0,0,0,0,0,0,0,0
2014-02-01,0.045757,0.007085890621786238,0.0063937310606060616,1,0,0,0,1,0,0,0,0,0,0,0,0
2014-03-01,0.008056,0.007189108100895803,0.006443369482976042,1,0,0,0,1,0,0,0,0,0,0,0,0
2014-04-01,0.006555,0.007599329583951112,0.006445400503778339,1,0,0,0,1,0,0,0,0,0,0,0,0
2014-05-01,0.023309,0.00707278611153868,0.0064455383647798745,1,0,0,0,1,0,0,0,0,0,0,0,0
2014-06-01,0.020635,0.00795326204074045,0.0064667236180904536,1,0,0,0,1,0,0,0,0,0,0,0,0
2014-07-01,-0.013974,0.008262268594276577,0.006484500627352573,1,0,0,0,1,0,0,0,0,0,0,0,0
2014-08-01,0.039777,0.007520456421816918,0.006458863408521305,1,0,0,0,1,0,0,0,0,0,0,0,0
2014-09-01,-0.013928,0.007992625117188857,0.006500563204005007,1,0,0,0,1,0,0,0,0,0,0,0,0
2014-10-01,0.023972,0.007776083963233511,0.006475027500000001,1,0,0,0,1,0,0,0,0,0,0,0,0
2014-11-01,0.027631,0.005431218802215848,0.00649687141073658,1,0,0,0,1,0,0,0,0,0,0,0,0
2014-12-01,-0.002473,0.008430512485830483,0.006523223192019952,1,0,0,0,1,0,0,0,0,0,0,0,0
2015-01-01,-0.02943,0.006458203470981342,0.0065120199252802005,1,0,0,0,1,0,0,0,0,0,0,0,0
2015-02-01,0.057008,0.006165319891682844,0.006467315920398012,1,0,0,0,1,0,0,0,0,0,0,0,0
2015-03-01,-0.014993,0.00323280038802438,0.006530099378881988,2,0,0,0,1,0,0,0,0,1,0,0,0
